date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:52	62383/62383	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Aug%202018%2015:23:18%20GMT	http://landing.engotheme.com/html/plant/demo/home-v5.html	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/home-v5.html	(from )
09:47:52	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Sep%202021%2008:02:53%20GMT	http://landing.engotheme.com/robots.txt		(from )
09:47:53	30591/30591	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202017%2014:32:38%20GMT	http://landing.engotheme.com/html/plant/demo/css/font-awesome.min.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/font-awesome.min.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:54	51263/51263	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202017%2003:12:58%20GMT	http://landing.engotheme.com/html/plant/demo/css/ionicons.min.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/ionicons.min.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:55	8180/8180	---M--	200	added ('OK')	text/css	date:Thu,%2024%20May%202018%2020:48:20%20GMT	http://landing.engotheme.com/html/plant/demo/css/Pe-icon-7-stroke.min.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/Pe-icon-7-stroke.min.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:56	3145/3145	---M--	200	added ('OK')	text/css	date:Fri,%2006%20May%202016%2009:35:48%20GMT	http://landing.engotheme.com/html/plant/demo/css/slick-theme.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/slick-theme.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:56	1729/1729	---M--	200	added ('OK')	text/css	date:Fri,%2006%20May%202016%2009:35:48%20GMT	http://landing.engotheme.com/html/plant/demo/css/slick.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/slick.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:56	56058/56058	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Aug%202018%2020:34:20%20GMT	http://landing.engotheme.com/html/plant/demo/css/animation.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/animation.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:57	2936/2936	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2008:43:12%20GMT	http://landing.engotheme.com/html/plant/demo/css/owl.carousel.min.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/owl.carousel.min.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:57	1465/1465	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Aug%202018%2021:02:54%20GMT	http://landing.engotheme.com/html/plant/demo/images/favicon.png	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/images/favicon.png	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:57	5682/5682	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	http://landing.engotheme.com/html/plant/demo/css/bootstrap-select.min.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/bootstrap-select.min.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:58	347954/347954	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Aug%202018%2020:03:32%20GMT	http://landing.engotheme.com/html/plant/demo/css/styles.css	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/css/styles.css	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
09:47:59	2155/2155	---M--	200	added ('OK')	image/png	date:Fri,%2025%20May%202018%2013:42:54%20GMT	http://landing.engotheme.com/html/plant/demo/images/logo.png	C:/Users/Daniel%20Bacsur/OneDrive/Desktop/Kaspok/landing.engotheme.com/html/plant/demo/images/logo.png	(from http://landing.engotheme.com/html/plant/demo/home-v5.html)
